filename,ILP level<=1?,ILP runtime
n=8_r=400_l=2_m=80_0.txt,False,0.1202
n=8_r=400_l=2_m=80_1.txt,True,7.3825
n=8_r=400_l=2_m=80_2.txt,True,3.3068
n=8_r=400_l=2_m=80_3.txt,False,0.7551
n=8_r=400_l=2_m=80_4.txt,False,0.1105
n=8_r=400_l=2_m=80_5.txt,True,0.8951
n=8_r=400_l=2_m=80_6.txt,False,8.6572
n=8_r=400_l=2_m=80_7.txt,True,0.9730
n=8_r=400_l=2_m=80_8.txt,False,0.1123
n=8_r=400_l=2_m=80_9.txt,False,7.6484
n=8_r=400_l=2_m=80_10.txt,True,0.7187
n=8_r=400_l=2_m=80_11.txt,False,13.3134
n=8_r=400_l=2_m=80_12.txt,False,6.4603
n=8_r=400_l=2_m=80_13.txt,True,4.6510
n=8_r=400_l=2_m=80_14.txt,False,9.1998
n=8_r=400_l=2_m=80_15.txt,True,0.7444
n=8_r=400_l=2_m=80_16.txt,False,0.1307
n=8_r=400_l=2_m=80_17.txt,False,9.8372
n=8_r=400_l=2_m=80_18.txt,True,1.2363
n=8_r=400_l=2_m=80_19.txt,True,15.0364
n=8_r=400_l=2_m=80_20.txt,True,0.2003
n=8_r=400_l=2_m=80_21.txt,True,0.1917
n=8_r=400_l=2_m=80_22.txt,True,0.9064
n=8_r=400_l=2_m=80_23.txt,False,15.3953
n=8_r=400_l=2_m=80_24.txt,True,2.1829
n=8_r=400_l=2_m=80_25.txt,False,0.1034
n=8_r=400_l=2_m=80_26.txt,True,5.9868
n=8_r=400_l=2_m=80_27.txt,True,10.2239
n=8_r=400_l=2_m=80_28.txt,False,0.1036
n=8_r=400_l=2_m=80_29.txt,True,1.5807
n=8_r=400_l=2_m=80_30.txt,True,0.2484
n=8_r=400_l=2_m=80_31.txt,True,1.9685
n=8_r=400_l=2_m=80_32.txt,True,4.9510
n=8_r=400_l=2_m=80_33.txt,True,0.7490
n=8_r=400_l=2_m=80_34.txt,False,0.1167
n=8_r=400_l=2_m=80_35.txt,True,0.2129
n=8_r=400_l=2_m=80_36.txt,True,0.9479
