Input file,Exact minimum level,Heuristic minimum level,Heuristic runtime,ILP Form2 level,ILP Form2 runtime,ILP Form2 objective
n=8_r=14_0.txt,1,1,0.0156,1,0.0272,0.0
n=8_r=14_1.txt,1,1,0.0218,1,0.031,0.0
n=8_r=14_2.txt,1,1,0.052,1,0.0279,0.0
n=8_r=14_3.txt,1,1,0.013,1,0.0293,0.0
n=8_r=14_4.txt,1,1,0.0027,1,0.0276,0.0
n=8_r=14_5.txt,1,1,0.0088,1,0.0275,0.0
n=8_r=14_6.txt,1,1,0.0038,1,0.0296,0.0
n=8_r=14_7.txt,1,1,0.0158,1,0.0323,0.0
n=8_r=14_9.txt,1,1,0.0044,1,0.0285,0.0
n=8_r=14_12.txt,1,1,0.069,1,0.0251,0.0
n=8_r=14_16.txt,1,1,0.0005,1,0.0285,0.0
n=8_r=14_17.txt,1,1,0.0612,1,0.0288,0.0
n=8_r=14_18.txt,1,1,0.009,1,0.0318,0.0
n=8_r=14_19.txt,1,1,0.0184,1,0.0251,0.0
n=8_r=14_20.txt,3,3,0.0063,3,0.0361,6.0
n=8_r=14_21.txt,1,1,0.0011,1,0.0282,0.0
n=8_r=14_23.txt,1,1,0.0077,1,0.0281,0.0
